x,y
0.1,-0.22987493695365
0.2,-0.319745953019483
0.3,-0.355798291949033
0.4,-0.356820417879214
0.5,-0.332312460371937
0.6,-0.288433843676791
0.7,-0.229776307479843
0.8,-0.160073385680199
0.9,-0.0825317271270031
1,0
1.1,0.0849411337303932
1.2,0.169930817146359
1.3,0.252803234588612
1.4,0.331576474726988
1.5,0.404449412580765
1.6,0.469803221127744
1.7,0.526205364010292
1.8,0.572414651076724
1.9,0.607386388767445
2,0.630276947694634
2.1,0.640447265436993
2.2,0.637464940419599
2.3,0.621104674242248
2.4,0.591346897806165
2.5,0.548374478927309
2.6,0.492567460702753
2.7,0.424495823791174
2.8,0.344910303926117
2.9,0.254731329632363
3,0.155036175031513
3.1,0.0470444492742235
3.2,-0.0678979321995027
3.3,-0.188336128542405
3.4,-0.312724922430077
3.5,-0.439448237618835
3.6,-0.566839413125253
3.7,-0.693202012187379
3.8,-0.81683093709713
3.9,-0.936033616689516
4,-1.04915103172684
4.1,-1.15457834459715
4.2,-1.25078490360783
4.3,-1.33633339862833
4.4,-1.40989795382761
4.5,-1.47028095464812
4.6,-1.51642841982117
4.7,-1.54744374499939
4.8,-1.56259966228232
4.9,-1.56134827934135
5,-1.54332908279623
5.1,-1.50837481272585
5.2,-1.45651513846836
5.3,-1.38797808992522
5.4,-1.30318922317065
5.5,-1.2027685240134
5.6,-1.08752507799476
5.7,-0.958449559864878
5.8,-0.816704619594561
5.9,-0.663613265191443
6,-0.500645364747
6.1,-0.329402411005124
6.2,-0.151600711087607
6.3,0.0309468183724533
6.4,0.216350054742683
6.5,0.402662061997817
6.6,0.587900251504261
6.7,0.770068081066028
6.8,0.947177055778654
6.9,1.11726879023853
7,1.27843689024022
7.1,1.42884841328268
7.2,1.56676467098803
7.3,1.69056114287859
7.4,1.7987462797939
7.5,1.889978986472
7.6,1.96308458635038
7.7,2.01706908732306
7.8,2.05113158485772
7.9,2.06467465834659
8,2.05731263763218
8.1,2.02887763909489
8.2,1.97942329427553
8.3,1.90922611848629
8.4,1.81878449197764
8.5,1.70881525171337
8.6,1.58024791738896
8.7,1.43421660074122
8.8,1.27204967216704
8.9,1.09525728293217
9,0.905516864547762
9.1,0.704656748973103
9.2,0.494638073931984
9.3,0.277535156584261
9.4,0.0555145358692729
9.5,-0.16918710115176
9.6,-0.394285880845853
9.7,-0.617474353930539
9.8,-0.836445509322672
9.9,-1.04891693911929
10,-1.25265490020792
